Epoch 230    Validation MSELoss: 2.212483e-05    Training MSELoss: 6.202600e-05
Epoch 231    Validation MSELoss: 1.694671e-05    Training MSELoss: 7.172457e-05
Epoch 232    Validation MSELoss: 2.521325e-04    Training MSELoss: 6.792558e-05
Epoch 233    Validation MSELoss: 2.487547e-05    Training MSELoss: 6.453004e-05
Epoch 234    Validation MSELoss: 2.223017e-05    Training MSELoss: 6.500256e-05
Epoch 235    Validation MSELoss: 2.495937e-05    Training MSELoss: 6.869312e-05
Epoch 236    Validation MSELoss: 3.424026e-05    Training MSELoss: 6.762629e-05
Epoch 237    Validation MSELoss: 2.759853e-05    Training MSELoss: 6.707942e-05
Epoch 238    Validation MSELoss: 3.056693e-05    Training MSELoss: 6.745375e-05
Epoch 239    Validation MSELoss: 1.674517e-05    Training MSELoss: 7.267152e-05
Epoch 240    Validation MSELoss: 3.827431e-05    Training MSELoss: 6.724797e-05
Epoch 241    Validation MSELoss: 4.128714e-05    Training MSELoss: 7.503805e-05
Epoch 242    Validation MSELoss: 2.613736e-05    Training MSELoss: 7.776426e-05
Epoch 243    Validation MSELoss: 3.288779e-05    Training MSELoss: 6.506073e-05
Epoch 244    Validation MSELoss: 2.749703e-05    Training MSELoss: 6.442975e-05
Epoch 245    Validation MSELoss: 3.839942e-05    Training MSELoss: 7.546422e-05
Epoch 246    Validation MSELoss: 3.566847e-05    Training MSELoss: 5.962975e-05
Epoch 247    Validation MSELoss: 3.832455e-05    Training MSELoss: 6.318511e-05
Epoch 248    Validation MSELoss: 2.274614e-05    Training MSELoss: 6.171226e-05
Epoch 249    Validation MSELoss: 2.736668e-05    Training MSELoss: 6.176961e-05
Epoch 250    Validation MSELoss: 1.735765e-05    Training MSELoss: 6.382797e-05
Epoch 251    Validation MSELoss: 2.270785e-05    Training MSELoss: 7.338294e-05
Epoch 252    Validation MSELoss: 2.324381e-05    Training MSELoss: 5.932886e-05
Epoch 253    Validation MSELoss: 1.928576e-05    Training MSELoss: 6.133617e-05
Epoch 254    Validation MSELoss: 3.006341e-05    Training MSELoss: 6.474991e-05
Epoch 255    Validation MSELoss: 3.309895e-05    Training MSELoss: 5.920056e-05
Epoch 256    Validation MSELoss: 1.934167e-05    Training MSELoss: 5.775919e-05
Epoch 257    Validation MSELoss: 2.568735e-05    Training MSELoss: 5.505819e-05
Epoch 258    Validation MSELoss: 2.189707e-05    Training MSELoss: 5.356780e-05
Epoch 259    Validation MSELoss: 1.607234e-05    Training MSELoss: 5.853449e-05
Epoch 260    Validation MSELoss: 2.457279e-05    Training MSELoss: 5.895424e-05
Epoch 261    Validation MSELoss: 2.256600e-05    Training MSELoss: 5.764285e-05
Epoch 262    Validation MSELoss: 2.313724e-05    Training MSELoss: 5.969184e-05
Epoch 263    Validation MSELoss: 2.340567e-05    Training MSELoss: 6.906662e-05
Epoch 264    Validation MSELoss: 1.529172e-05    Training MSELoss: 5.655795e-05
Epoch 265    Validation MSELoss: 2.516057e-05    Training MSELoss: 5.959851e-05
Epoch 266    Validation MSELoss: 1.228394e-05    Training MSELoss: 6.476073e-05
Epoch 267    Validation MSELoss: 2.410150e-05    Training MSELoss: 7.318925e-05
Epoch 268    Validation MSELoss: 2.510400e-05    Training MSELoss: 5.740327e-05
Epoch 269    Validation MSELoss: 1.898255e-05    Training MSELoss: 5.458618e-05
Epoch 270    Validation MSELoss: 1.555053e-05    Training MSELoss: 5.877025e-05
Epoch 271    Validation MSELoss: 1.755502e-05    Training MSELoss: 5.759311e-05
Epoch 272    Validation MSELoss: 2.023546e-05    Training MSELoss: 5.672958e-05
Epoch 273    Validation MSELoss: 2.398577e-05    Training MSELoss: 6.111055e-05
Epoch 274    Validation MSELoss: 2.484609e-05    Training MSELoss: 5.492151e-05
Epoch 275    Validation MSELoss: 2.756678e-05    Training MSELoss: 5.650606e-05
